"family";"name";"triangles";"primitives";"initial";"p1";"p2";"initial<->p1";"initial<->p2";"p1<->p2"
"Arquitectura restante";"Wall_Side_R";"212";"1";"POTENCIAL";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Arquitectura restante";"Parapet";"68";"1";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Arquitectura restante";"Lintel";"44";"1";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Arquitectura restante";"Wing_R";"192";"1";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"POTENCIAL";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL"
"Arquitectura restante";"Ceiling_Slab";"124";"1";"POTENCIAL";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Arquitectura restante";"Podest";"112";"1";"POTENCIAL";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Arquitectura restante";"Wall_Side_L";"484";"1";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Arquitectura restante";"Wing_L";"189";"1";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"POTENCIAL";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL"
"Marco de puerta";"Door_Frame";"1122";"1";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"POTENCIAL";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL"
"Arquitectura restante";"Alfeizar | canto de piedra pulida";"44";"1";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Columnas";"Columna 01 | perfil original y 24 hiladas";"8818";"2";"POTENCIAL";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL";"FUERA_MUESTRAS"
"Columnas";"Columna 02 | perfil original y 24 hiladas";"8138";"2";"POTENCIAL";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL";"FUERA_MUESTRAS"
"Columnas";"Columna 03 | perfil original y 24 hiladas";"8140";"2";"POTENCIAL";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Columnas";"Columna 04 | perfil original y 24 hiladas";"5687";"2";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Columnas";"Columna 05 | perfil original y 24 hiladas";"6673";"2";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS"
"Columnas";"Columna 06 | perfil original y 24 hiladas";"8817";"2";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS"
"Columnas";"Columna 07 | perfil original y 24 hiladas";"7225";"2";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"POTENCIAL";"FUERA_MUESTRAS"
"Columnas";"Columna 08 | perfil original y 24 hiladas";"8806";"2";"POTENCIAL";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Columnas";"Columna 09 | perfil original y 24 hiladas";"5014";"2";"POTENCIAL";"POTENCIAL";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Columnas";"Columna 10 | perfil original y 24 hiladas";"8803";"2";"POTENCIAL";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL";"FUERA_MUESTRAS"
"Columnas";"Columna 11 | perfil original y 24 hiladas";"8137";"2";"POTENCIAL";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL";"FUERA_MUESTRAS"
"Columnas";"Columna 12 | perfil original y 24 hiladas";"8143";"2";"POTENCIAL";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Columnas";"Columna 13 | perfil original y 24 hiladas";"6778";"2";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
